"Title","Authors","Journal","Year"
"Scaling vision transformers","X Zhai, A Kolesnikov, N Houlsby - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"SegFormer: Simple and efficient design for semantic segmentation with transformers","E Xie, W Wang, Z Yu, A Anandkumar - Advances in , 2021 - proceedings.neurips.cc","Advances in ¡¦","2021"
"Tabular data: Deep learning is not all you need","R Shwartz-Ziv, A Armon - Information Fusion, 2022 - Elsevier","Information Fusion","2022"
" A survey of transformers","T Lin, Y Wang, X Liu, X Qiu - AI Open, 2022 - Elsevier","AI Open","2022"
"Petrv2: A unified framework for 3d perception from multi-camera images","Y Liu, J Yan, F Jia, S Li, A Gao - Proceedings of the , 2023 - openaccess.thecvf.com","Proceedings of the ¡¦","2023"
"React: Out-of-distribution detection with rectified activations","Y Sun, C Guo, Y Li - Advances in Neural Information , 2021 - proceedings.neurips.cc","Advances in Neural Information ¡¦","2021"
"Masked siamese networks for label-efficient learning","M Assran, M Caron, I Misra, P Bojanowski -  on Computer Vision, 2022 - Springer","¡¦ on Computer Vision","2022"
" Deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions","IH Sarker - SN Computer Science, 2021 - Springer","SN Computer Science","2021"
" The medical segmentation decathlon","M Antonelli, A Reinke, S Bakas, K Farahani - Nature , 2022 - nature.com","Nature ¡¦","2022"
"Deepfusion: Lidar-camera deep fusion for multi-modal 3d object detection","Y Li, AW Yu, T Meng, B Caine - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Pointnext: Revisiting pointnet++ with improved training and scaling strategies","G Qian, Y Li, H Peng, J Mai - Advances in , 2022 - proceedings.neurips.cc","Advances in ¡¦","2022"
"Video pretraining (vpt): Learning to act by watching unlabeled online videos","B Baker, I Akkaya, P Zhokov - Advances in , 2022 - proceedings.neurips.cc","Advances in ¡¦","2022"
"Conditional detr for fast training convergence","D Meng, X Chen, Z Fan, G Zeng, H Li - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
