"Title","Authors","Journal","Year"
" Deep learning-enabled medical computer vision","A Esteva, K Chou, S Yeung, N Naik, A Madani - NPJ digital , 2021 - nature.com","NPJ digital ¡¦","2021"
"Hyperstyle: Stylegan inversion with hypernetworks for real image editing","Y Alaluf, O Tov, R Mokady, R Gal - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
" Democratising deep learning for microscopy with ZeroCostDL4Mic","L von Chamier, RF Laine, J Jukkala, C Spahn - Nature , 2021 - nature.com","Nature ¡¦","2021"
"Taming transformers for high-resolution image synthesis","P Esser, R Rombach, B Ommer - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"Gram: Generative radiance manifolds for 3d-aware image generation","Y Deng, J Yang, J Xiang - Proceedings of the IEEE , 2022 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2022"
"Diffusion autoencoders: Toward a meaningful and decodable representation","K Preechakul, N Chatthee - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Generative adversarial networks: A survey toward private and secure applications","Z Cai, Z Xiong, H Xu, P Wang, W Li, Y Pan - ACM Computing Surveys , 2021 - dl.acm.org","ACM Computing Surveys ¡¦","2021"
"A review of medical image data augmentation techniques for deep learning applications","P Chlap, H Min, N Vandenberg - Journal of Medical , 2021 - Wiley Online Library","Journal of Medical ¡¦","2021"
"pi-gan: Periodic implicit generative adversarial networks for 3d-aware image synthesis","ER Chan, M Monteiro, P Kellnhofer - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Graph neural network for traffic forecasting: A survey","W Jiang, J Luo - Expert Systems with Applications, 2022 - Elsevier","Expert Systems with Applications","2022"
"Unsupervised speech recognition","A Baevski, WN Hsu, A Conneau - Advances in Neural , 2021 - proceedings.neurips.cc","Advances in Neural ¡¦","2021"
"Giraffe: Representing scenes as compositional generative neural feature fields","M Niemeyer, A Geiger -  of the IEEE/CVF Conference on , 2021 - openaccess.thecvf.com","¡¦ of the IEEE/CVF Conference on ¡¦","2021"
" Plant diseases and pests detection based on deep learning: a review","J Liu, X Wang - Plant Methods, 2021 - Springer","Plant Methods","2021"
"Transformers in time series: A survey","Q Wen, T Zhou, C Zhang, W Chen, Z Ma, J Yan - arXiv preprint arXiv , 2022 - arxiv.org","arXiv preprint arXiv ¡¦","2022"
" Artificial intelligence to deep learning: machine intelligence approach for drug discovery","R Gupta, D Srivastava, M Sahu, S Tiwari, RK Ambasta - Molecular , 2021 - Springer","Molecular ¡¦","2021"
"Sparsity in deep learning: Pruning and growth for efficient inference and training in neural networks","T Hoefler, D Alistarh, T Ben-Nun, N Dryden - The Journal of Machine , 2021 - dl.acm.org","The Journal of Machine ¡¦","2021"
"Dense contrastive learning for self-supervised visual pre-training","X Wang, R Zhang, C Shen - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Grad-tts: A diffusion probabilistic model for text-to-speech","V Popov, I Vovk, V Gogoryan - International , 2021 - proceedings.mlr.press","International ¡¦","2021"
"Explainable artificial intelligence: an analytical review","PP Angelov, EA Soares, R Jiang -  : Data Mining and , 2021 - Wiley Online Library","¡¦ : Data Mining and ¡¦","2021"
"A survey on contrastive self-supervised learning","A Jaiswal, AR Babu, MZ Zadeh, D Banerjee - Technologies, 2020 - mdpi.com","Technologies","2020"
"Hifi-gan: Generative adversarial networks for efficient and high fidelity speech synthesis","J Kong, J Kim, J Bae - Advances in Neural Information , 2020 - proceedings.neurips.cc","Advances in Neural Information ¡¦","2020"
